日期,单位净值,复权单位净值,累计单位净值,收盘价,涨跌幅(%),申购状态,sigma00
2018-04-19,2.676,3.9864,3.639,2.676,1.06,开放申购|开放赎回,0.092426945
2018-04-18,2.648,3.9447,3.606,2.643,0.68,开放申购|开放赎回,0.092342541
2018-04-17,2.63,3.9179,3.585,2.626,-1.09,开放申购|开放赎回,0.089026665
2018-04-16,2.659,3.9611,3.619,2.655,-2.24,开放申购|开放赎回,0.083842353
2018-04-13,2.72,4.052,3.691,2.717,-0.87,开放申购|开放赎回,0.080414651
2018-04-12,2.744,4.0877,3.72,2.742,-1.26,开放申购|开放赎回,0.079248344
2018-04-11,2.779,4.1399,3.761,2.775,0.14,开放申购|开放赎回,0.080320257
2018-04-10,2.775,4.1339,3.756,2.775,2.4,开放申购|开放赎回,0.084051086
2018-04-09,2.71,4.0371,3.679,2.711,0.48,开放申购|开放赎回,0.086642541
2018-04-04,2.697,4.0177,3.664,2.694,0.19,开放申购|开放赎回,0.085101461
2018-04-03,2.692,4.0103,3.658,2.693,-0.52,开放申购|开放赎回,0.080637838
2018-04-02,2.706,4.0311,3.675,2.702,-0.4,开放申购|开放赎回,0.07533905
2018-03-30,2.717,4.0475,3.688,2.713,-0.59,开放申购|开放赎回,0.070662058
2018-03-29,2.733,4.0713,3.707,2.734,1.6,开放申购|开放赎回,0.066257249
2018-03-28,2.69,4.0073,3.656,2.688,-1.9,开放申购|开放赎回,0.063691471
2018-03-27,2.742,4.0847,3.717,2.739,0.29,开放申购|开放赎回,0.061178277
2018-03-26,2.734,4.0728,3.708,2.734,-1.87,开放申购|开放赎回,0.069710971
2018-03-23,2.786,4.1503,3.769,2.781,-2.62,开放申购|开放赎回,0.082359326
2018-03-22,2.861,4.262,3.858,2.857,-0.97,开放申购|开放赎回,0.090358093
2018-03-21,2.889,4.3037,3.891,2.884,-0.34,开放申购|开放赎回,0.098146243
2018-03-20,2.899,4.3186,3.903,2.895,0.24,开放申购|开放赎回,0.103733196
2018-03-19,2.892,4.3082,3.895,2.892,0.91,开放申购|开放赎回,0.106746994
2018-03-16,2.866,4.2695,3.864,2.862,-0.83,开放申购|开放赎回,0.111131842
2018-03-15,2.89,4.3052,3.892,2.89,0.8,开放申购|开放赎回,0.117384602
2018-03-14,2.867,4.271,3.865,2.863,-0.42,开放申购|开放赎回,0.121959556
2018-03-13,2.879,4.2888,3.879,2.873,-0.9,开放申购|开放赎回,0.126174942
2018-03-12,2.905,4.3276,3.91,2.905,0.03,开放申购|开放赎回,0.129766816
2018-03-09,2.904,4.3261,3.909,2.903,0.35,开放申购|开放赎回,0.131522775
2018-03-08,2.894,4.3112,3.897,2.893,0.7,开放申购|开放赎回,0.132262144
2018-03-07,2.874,4.2814,3.874,2.871,-0.48,开放申购|开放赎回,0.132146401
2018-03-06,2.888,4.3022,3.89,2.888,0.98,开放申购|开放赎回,0.130176379
2018-03-05,2.86,4.2605,3.857,2.855,0,开放申购|开放赎回,0.128357887
2018-03-02,2.86,4.2605,3.857,2.856,-0.94,开放申购|开放赎回,0.124678879
2018-03-01,2.887,4.3007,3.889,2.884,0.42,开放申购|开放赎回,0.120596029
2018-02-28,2.875,4.2829,3.875,2.871,-1.64,开放申购|开放赎回,0.117696966
2018-02-27,2.923,4.3544,3.932,2.92,-1.58,开放申购|开放赎回,0.113945238
