date,code_id,option_type,K,T,sigma_bsm
2015-04-20,10000161,C,3.2,2015-05-27,0.10882250107683626
2015-04-21,10000161,C,3.2,2015-05-27,0.20707205156838657
2015-04-22,10000161,C,3.2,2015-05-27,0.2424083571522767
2015-04-23,10000161,C,3.2,2015-05-27,0.24511209204082354
2015-04-24,10000161,C,3.2,2015-05-27,0.24272157329713773
2015-04-27,10000161,C,3.2,2015-05-27,0.2386703096272044
2015-04-28,10000161,C,3.2,2015-05-27,0.24363984134867492
2015-04-29,10000161,C,3.2,2015-05-27,0.24454373877329827
2015-04-30,10000161,C,3.2,2015-05-27,0.24513931797789104
2015-05-04,10000161,C,3.2,2015-05-27,0.2447864540352407
2015-05-05,10000161,C,3.2,2015-05-27,0.12338444059147216
2015-05-06,10000161,C,3.2,2015-05-27,0.1548829012494749
2015-05-07,10000161,C,3.2,2015-05-27,0.28325720944631155
2015-05-08,10000161,C,3.2,2015-05-27,0.2454438091913946
2015-05-11,10000161,C,3.2,2015-05-27,0.10662818380826915
2015-05-12,10000161,C,3.2,2015-05-27,0.07738276646942106
2015-05-13,10000161,C,3.2,2015-05-27,0.1637803892297333
2015-05-14,10000161,C,3.2,2015-05-27,0.15003649496977425
2015-05-15,10000161,C,3.2,2015-05-27,0.19368536590209007
2015-05-18,10000153,C,3.1,2015-05-27,0.20022122667873593
2015-05-19,10000153,C,3.1,2015-05-27,0.231275163548031
2015-05-20,10000153,C,3.1,2015-05-27,0.22914935005618367
2015-05-21,10000161,C,3.2,2015-05-27,0.14712627750774887
2015-05-22,10000195,C,3.5,2015-06-24,0.28538183274365897
2015-05-25,10000195,C,3.5,2015-06-24,0.32531248181887573
2015-05-26,10000195,C,3.5,2015-06-24,0.30901794991467935
2015-05-27,10000195,C,3.5,2015-06-24,0.39579486948784154
2015-05-28,10000195,C,3.5,2015-06-24,0.4312881916052492
2015-05-29,10000195,C,3.5,2015-06-24,0.399978735630686
2015-06-01,10000195,C,3.5,2015-06-24,0.4517451521832343
2015-06-02,10000195,C,3.5,2015-06-24,0.4684355628868825
2015-06-03,10000195,C,3.5,2015-06-24,0.4743608527458724
2015-06-04,10000195,C,3.5,2015-06-24,0.40500824738857594
2015-06-05,10000195,C,3.5,2015-06-24,0.389334923744309
2015-06-08,10000195,C,3.5,2015-06-24,0.11460599680806494
2015-06-09,10000195,C,3.5,2015-06-24,0.4370521335218113
2015-06-10,10000195,C,3.5,2015-06-24,0.4222445607718067
2015-06-11,10000195,C,3.5,2015-06-24,0.4081120952197526
2015-06-12,10000195,C,3.5,2015-06-24,0.33455999020527716
2015-06-15,10000195,C,3.5,2015-06-24,0.40252411166952484
2015-06-16,10000195,C,3.5,2015-06-24,0.4530991973991895
2015-06-17,10000195,C,3.5,2015-06-24,0.44482321118176116
2015-06-18,10000195,C,3.5,2015-06-24,0.5062843754190903
2015-06-19,10000195,C,3.5,2015-06-24,0.129349482
2015-06-23,10000195,C,3.5,2015-06-24,0.133758699
2015-06-24,10000195,C,3.5,2015-06-24,0.13633645
2015-06-25,10000223,C,3.6,2015-07-22,0.5022523049187801
2015-06-26,10000223,C,3.6,2015-07-22,0.3300893397755323
2015-06-29,10000223,C,3.6,2015-07-22,0.41653030681090675
2015-06-30,10000223,C,3.6,2015-07-22,0.7059896981142347
2015-07-01,10000223,C,3.6,2015-07-22,0.7001354866274315
2015-07-02,10000223,C,3.6,2015-07-22,0.7581873563752487
2015-07-03,10000223,C,3.6,2015-07-22,0.3871144843860706
2015-07-06,10000223,C,3.6,2015-07-22,0.7469925128122202
2015-07-07,10000223,C,3.6,2015-07-22,0.5946321972138451
2015-07-08,10000223,C,3.6,2015-07-22,0.7218094187444168
2015-07-09,10000223,C,3.6,2015-07-22,0.7417259924885337
